Linha,Linha nome,Itinerário,Sentido
543,PALHOCA OU P.IMARUIM / T.NOVA CIRCULAR VIA C.NOVO,ITI IDA - P.IMARUIM / T.NOVA,PC1
543,PALHOCA OU P.IMARUIM / T.NOVA CIRCULAR VIA C.NOVO,ITI IDA - PALHOCA / T.NOVA,PC1
620,CID UNIV CIRC VIA AQUARIUS/PALHOÇA/P.,ITI IDA - CIDADE UNIVERSITÁRIA,PC1
630,CIDADE UNIVERSITARIA / PONTE DO IMARUIM (PRACA),ITI IDA - SENAI (ELDORADO) /,PC1
630,CIDADE UNIVERSITARIA / PONTE DO IMARUIM (PRACA),ITI VOLTA - PALHOCA (MERCADO,PC2
630,CIDADE UNIVERSITARIA / PONTE DO IMARUIM (PRACA),ITI VOLTA - PONTE DO IMARUIM,PC2
720,PONTE DO IMARUIM CIRCULAR VIA CASQ/E.,ITI IDA - P. IMARUIM CIRC. VIA,PC1
1330,PALHOÇA / BIGUAÇU VIA SANTOS/B.VISTA/BR 101,ITI IDA - ENTRADA DO RIO,PC1
1330,PALHOÇA / BIGUAÇU VIA SANTOS/B.VISTA/BR 101,ITI IDA - NOVA PALHOÇA /,PC1
1330,PALHOÇA / BIGUAÇU VIA SANTOS/B.VISTA/BR 101,ITI VOLTA - BIGUAÇU / NOVA,PC2
1331,CD IMPERATRIZ / BIGUAÇU VIA BR 101,ITI IDA - CD IMPERATRIZ /,PC1
1331,CD IMPERATRIZ / BIGUAÇU VIA BR 101,ITI VOLTA - BIGUAÇU / CD,PC2
1332,PALHOÇA / BIGUAÇU VIA CENTRO PH/E.LUCHI/BR 101,ITI IDA - NOVA PALHOÇA /,PC1
1333,PALHOÇA / BIGUAÇU VIA MARGINAL BR 101 (EXECUTIVO),ITI IDA - NOVA PALHOÇA /,PC1
1333,PALHOÇA / BIGUAÇU VIA MARGINAL BR 101 (EXECUTIVO),ITI VOLTA - BIGUAÇU / NOVA,PC2
1334,PALHOÇA / BIGUAÇU VIA CID UNIV/BR 101 (EXECUTIVO),ITI IDA - NOVA PALHOÇA /,PC1
1334,PALHOÇA / BIGUAÇU VIA CID UNIV/BR 101 (EXECUTIVO),ITI VOLTA - BIGUAÇU / NOVA,PC2
2020,HOSPITAL REGIONAL / FLORIANOPOLIS VIA IVO,ITI IDA - HOSPITAL REGIONAL /,PC1
2020,HOSPITAL REGIONAL / FLORIANOPOLIS VIA IVO,ITI VOLTA - FLORIANÓPOLIS /,PC2
2030,PONTA DE BAIXO / FLORIANÓPOLIS VIA PANIFICADORA,ITI IDA - PONTA DE BAIXO /,PC1
2030,PONTA DE BAIXO / FLORIANÓPOLIS VIA PANIFICADORA,ITI VOLTA - FLORIANÓPOLIS /,PC2
2031,PONTA DE BAIXO / FLORIANÓPOLIS VIAMADEIREIRA,ITI IDA - PONTA DE BAIXO /,PC1
2031,PONTA DE BAIXO / FLORIANÓPOLIS VIAMADEIREIRA,ITI VOLTA - FLORIANÓPLIS /,PC2
2060,PONTE DO IMARUIM / FLORIANÓPOLIS,ITI - IDA - P. IMARUIM / FPOLIS,PC1
2060,PONTE DO IMARUIM / FLORIANÓPOLIS,ITI IDA - PONTE IMARUIM /,PC1
2060,PONTE DO IMARUIM / FLORIANÓPOLIS,ITI VOLTA - FLORIANÓPOLIS / P.,PC2
2410,M.GATO / FPOLIS VIA MADRI/AV. TORRES/BR 101/EXP,ITI IDA - MORRO DO GATO -,PC1
